Dataset_ID	TCGA-BLCA-L3-S64
Source	TCGA
Platform	MDA_RPPA_Core
Sample_Type	patient tumor
Dataset_Summary_Text	Bladder Urothelial Carcinoma (BLCA)
Included_In_Summary	yes
Cancer_Type	Bladder Urothelial Carcinoma (BLCA)
Dataset	BLCA
RPPA_Batch_ID	64
Species	Homo sapiens
Num_Samples	127
Num_Antibodies	190
Normalization_Level	3
Normalization_Method	Loading Control
Normalization_Description	(1) median center the protein columns across samples based on level 2 data; (2) median center the sample rows across proteins by subtracting each sample median.
Dataset_Description	TCGA Bladder Urothelial Carcinoma (BLCA).
Comments	All the TCGA patient samples in this disease were profiled in a single batch.
Reference	
PMID	NA
TCPA_Release	"3.0"
