Dataset_ID	TCGA-OV-L3-S35
Source	TCGA
Platform	MDA_RPPA_Core
Sample_Type	patient tumor
Dataset_Summary_Text	Ovarian serous cystadenocarcinoma (OV)
Included_In_Summary	yes
Cancer_Type	Ovarian serous cystadenocarcinoma (OV)
Dataset	OV
RPPA_Batch_ID	35
Species	Homo sapiens
Num_Samples	412
Num_Antibodies	190
Normalization_Level	3
Normalization_Method	Loading Control
Normalization_Description	(1) median center the protein columns across samples based on level 2 data; (2) median center the sample rows across proteins by subtracting each sample median.
Dataset_Description	TCGA Ovarian serous cystadenocarcinoma (OV).
Comments	All the TCGA patient samples in this disease were profiled in a single batch.
Reference	NA
PMID	NA
TCPA_Release	"3.0"
