Dataset_ID	TCGA-UCEC-L3-S64
Source	TCGA
Platform	MDA_RPPA_Core
Sample_Type	patient tumor
Dataset_Summary_Text	Uterine Corpus Endometrioid Carcinoma (UCEC)
Included_In_Summary	yes
Cancer_Type	Uterine Corpus Endometrioid Carcinoma (UCEC)
Dataset	UCEC
RPPA_Batch_ID	64
Species	Homo sapiens
Num_Samples	404
Num_Antibodies	190
Normalization_Level	3
Normalization_Method	Loading Control
Normalization_Description	(1) median center the protein columns across samples based on level 2 data; (2) median center the sample rows across proteins by subtracting each sample median.
Dataset_Description	TCGA Uterine Corpus Endometrioid Carcinoma (UCEC).
Comments	All the TCGA patient samples in this disease were profiled in a single batch.
Reference	NA
PMID	NA
TCPA_Release	"3.0"
